City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,selfoss,63.9331,-20.9971,7.8,77,9,10.11,IS,1693711942
84,susuman,62.7833,148.1667,2.76,70,96,2.83,RU,1693711943
85,ushuaia,-54.8,-68.3,0.81,75,75,9.26,AR,1693711767
86,remire-montjoly,4.9167,-52.2667,25.02,88,0,1.03,GF,1693711943
87,invercargill,-46.4,168.35,10.57,88,100,2.24,NZ,1693711944
88,ebon,4.582,168.6964,28.69,71,39,1.87,MH,1693711944
89,iqaluit,63.7506,-68.5145,2.85,69,100,9.26,CA,1693711944
90,g'uzor,38.6214,66.2522,20.02,16,0,2.09,UZ,1693711945
91,dakhla,23.6848,-15.958,20.38,90,10,7.06,EH,1693711945
92,margaret river,-33.95,115.0667,12.57,57,93,9.71,AU,1693711946
93,kurumkan,54.3,110.3,9.47,93,100,2.92,RU,1693711947
94,south hedland,-20.4089,118.5983,28.96,26,97,6.69,AU,1693711947
95,jamaame,0.0697,42.745,24.94,81,18,5.06,SO,1693711948
96,darwin,-12.4611,130.8418,31.61,49,40,4.12,AU,1693711948
97,ilulissat,69.2167,-51.1,3.01,81,100,6.69,GL,1693711948
98,avarua,-21.2078,-159.775,23.03,56,95,4.63,CK,1693711949
99,ca mau,9.1769,105.15,31.12,64,96,6.19,VN,1693711949
100,saint-philippe,-21.3585,55.7679,20.77,81,40,6.67,RE,1693711694
101,holualoa,19.6228,-155.9522,26.97,79,75,3.6,US,1693711950
102,whitehorse,60.7161,-135.0538,6.43,88,100,4.12,CA,1693711950
103,ghadamis,30.1337,9.5007,31.03,26,2,8.78,LY,1693711951
104,tiksi,71.6872,128.8694,3.24,93,100,6.49,RU,1693711951
105,howard springs,-12.497,131.047,31.57,55,87,0.48,AU,1693711951
106,talnakh,69.4865,88.3972,7.34,64,48,5.25,RU,1693711952
107,yurty,56.0498,97.6348,16.06,54,100,1.94,RU,1693711953
108,diamantino,-14.4086,-56.4461,26.45,60,20,2.32,BR,1693711953
109,teluknaga,-6.0989,106.6381,31.4,62,20,2.06,ID,1693711954
110,nuuk,64.1835,-51.7216,2.34,75,20,2.57,GL,1693711954
111,tura,25.5198,90.2201,29.3,79,40,0.48,IN,1693711501
112,cabo san lucas,22.8909,-109.9124,29.86,79,20,5.14,MX,1693711617
113,palu,-0.8917,119.8707,31.05,63,81,1.57,ID,1693711492
114,bredasdorp,-34.5322,20.0403,8.57,87,100,1.58,ZA,1693711956
115,dourbali,11.8091,15.8632,25.34,70,69,1.89,TD,1693711956
116,revda,56.801,59.9303,12.72,88,100,3.62,RU,1693711957
117,antofagasta,-23.65,-70.4,16.6,82,10,0.87,CL,1693711894
118,port douglas,-16.4833,145.4667,24.5,55,100,4.55,AU,1693711957
119,st. john's,47.5649,-52.7093,14.66,88,0,6.17,CA,1693711958
120,pisco,-13.7,-76.2167,19.03,82,100,6.17,PE,1693711958
121,wanning,18.8003,110.3967,31.75,63,18,3.73,CN,1693711959
122,moroni,-11.7022,43.2551,22.0,83,20,2.06,KM,1693711959
123,kargasok,59.0556,80.8572,15.43,80,80,1.41,RU,1693711959
124,peace river,56.2501,-117.286,14.17,71,75,1.54,CA,1693711960
125,mount gambier,-37.8333,140.7667,19.64,49,0,5.35,AU,1693711848
126,santa maria del oro,25.9333,-105.3667,20.57,42,20,1.73,MX,1693711961
127,naze,28.3667,129.4833,28.51,77,25,5.34,JP,1693711961
128,coquimbo,-29.9533,-71.3436,11.85,100,75,3.09,CL,1693711890
129,as sulayyil,20.4607,45.5779,30.14,16,56,2.04,SA,1693711962
130,ola,59.5833,151.2833,7.91,86,100,7.27,RU,1693711962
131,vernon,50.2581,-119.2691,22.39,59,50,1.03,CA,1693711963
132,del rio,29.3627,-100.8968,32.06,36,0,3.09,US,1693711866
133,stewartville,43.8555,-92.4885,28.02,55,0,6.69,US,1693711963
134,fort bragg,35.139,-79.006,20.75,90,0,0.0,US,1693711964
135,elmshorn,53.75,9.65,13.88,96,100,2.3,DE,1693711964
136,gagliano del capo,39.8442,18.3695,21.68,88,27,8.23,IT,1693711964
137,tolanaro,-25.0319,46.9987,20.04,83,20,5.14,MG,1693711965
138,vilyuchinsk,52.9306,158.4028,23.15,66,8,2.17,RU,1693711965
139,broken hill,-31.95,141.4333,22.34,20,0,6.7,AU,1693711959
140,zhalantun,48.0,122.7167,13.18,75,100,6.47,CN,1693711966
141,ribeira grande,38.5167,-28.7,20.43,92,13,2.24,PT,1693711967
142,georgetown,5.4112,100.3354,32.19,72,20,3.09,MY,1693711967
143,kontcha,7.9667,12.2333,20.98,98,52,1.71,CM,1693711968
144,kourou,5.1552,-52.6478,25.03,78,11,4.13,GF,1693711968
145,badger,64.8,-147.5333,13.32,54,0,3.6,US,1693711968
146,utrik,11.2278,169.8474,28.2,73,83,1.94,MH,1693711969
147,west island,-12.1568,96.8225,26.99,69,40,6.17,CC,1693711969
148,carnarvon,-24.8667,113.6333,20.68,65,45,8.56,AU,1693711970
149,haiku-pauwela,20.9219,-156.3051,28.01,58,40,10.29,US,1693711970
150,ust'-ilimsk,58.0006,102.6619,15.83,34,25,1.57,RU,1693711970
151,riyadh,24.6877,46.7219,28.08,18,0,3.27,SA,1693711786
152,bonthe,7.5264,-12.505,24.77,87,97,2.5,SL,1693711971
153,rawatsar,29.2833,74.3833,33.73,34,0,6.77,IN,1693711971
154,balabac,7.9868,117.0645,30.19,69,97,6.52,PH,1693711972
155,port saint john's,-31.6229,29.5448,17.26,78,100,1.03,ZA,1693711973
156,yuzhno-kurilsk,44.0306,145.8556,19.96,79,14,2.73,RU,1693711974
157,chebba,35.2372,11.115,25.95,66,98,5.11,TN,1693711974
158,vila franca do campo,37.7167,-25.4333,20.23,78,1,2.2,PT,1693711975
159,kyosai,34.8503,128.5886,29.98,76,32,3.27,KR,1693711975
160,celestun,20.8667,-90.4,28.11,81,37,6.59,MX,1693711975
161,araioses,-2.89,-41.9031,25.49,81,4,5.49,BR,1693711976
162,longyearbyen,78.2186,15.6401,4.29,80,29,1.78,SJ,1693711976
163,isafjordur,66.0755,-23.124,7.94,75,79,13.36,IS,1693711976
164,nadi,-17.8,177.4167,29.0,65,20,6.17,FJ,1693711977
165,dudinka,69.4058,86.1778,7.57,74,92,7.91,RU,1693711977
166,santa elena de uairen,4.6167,-61.1333,22.38,70,85,1.24,VE,1693711978
167,portland,45.5234,-122.6762,28.96,40,75,3.6,US,1693711641
168,kailua-kona,19.6406,-155.9956,29.04,79,75,3.6,US,1693711978
169,xocali,39.913,46.7903,21.85,75,16,1.15,AZ,1693711979
170,saint-julien-en-genevois,46.0833,6.0833,15.14,84,0,2.06,FR,1693711979
171,broome,42.2506,-75.833,20.2,82,98,0.89,US,1693711980
172,cova figueira,14.8905,-24.2934,24.46,88,37,3.99,CV,1693711980
173,ruiz,21.95,-105.15,26.19,95,90,1.07,MX,1693711980
174,tomohon,1.3346,124.8392,28.52,49,67,1.23,ID,1693711981
175,debark',13.1561,37.8981,10.56,69,26,2.2,ET,1693711981
176,punta arenas,-53.15,-70.9167,0.65,71,48,5.74,CL,1693711981
177,masterton,-40.9597,175.6575,14.94,67,48,2.92,NZ,1693711982
178,baganga,7.5739,126.56,30.73,70,88,4.48,PH,1693711982
179,bilibino,68.0546,166.4372,1.7,85,96,4.25,RU,1693711983
180,oamaru,-45.0784,170.9801,10.77,86,90,4.07,NZ,1693711983
181,iskateley,67.6803,53.1512,17.25,87,66,2.05,RU,1693711983
182,tofol,5.3248,163.0078,27.43,77,100,6.14,FM,1693711984
183,okhotsk,59.3833,143.3,9.32,69,91,6.04,RU,1693711984
184,port alfred,-33.5906,26.891,15.35,74,100,4.22,ZA,1693711985
185,inarajan village,13.2736,144.7484,32.11,77,100,4.1,GU,1693711985
186,balaruc-les-bains,43.4417,3.6778,17.97,65,80,2.95,FR,1693711985
187,nanao,37.05,136.9667,34.07,66,72,4.63,JP,1693711986
188,guiuan,11.0333,125.7247,28.77,81,99,9.73,PH,1693711986
189,kharp,66.8014,65.8081,11.08,87,91,1.66,RU,1693711987
190,floro,61.5996,5.0328,12.2,93,100,6.17,NO,1693711987
191,carutapera,-1.195,-46.02,25.08,80,10,3.73,BR,1693711987
192,fada n'gourma,12.0622,0.3578,21.82,94,100,1.63,BF,1693711988
193,mount isa,-20.7333,139.5,28.87,15,41,3.6,AU,1693711988
194,margate,51.3813,1.3862,17.61,92,65,0.89,GB,1693711989
195,longmen,24.9597,118.0889,31.34,69,100,5.84,CN,1693711989
196,imbituba,-28.24,-48.6703,20.48,93,100,3.27,BR,1693711989
197,nagqu,31.5,92.0,11.48,44,74,1.66,CN,1693711990
198,atafu village,-8.5421,-172.5159,28.09,78,100,6.36,TK,1693711990
199,murudeshwara,14.0943,74.4845,28.63,72,77,2.6,IN,1693711990
200,blackmans bay,-43.0167,147.3167,15.96,55,0,3.33,AU,1693711991
201,kannur,11.8675,75.3576,28.39,71,100,1.11,IN,1693711991
202,ust-nera,64.5667,143.2,7.21,52,52,0.58,RU,1693711992
203,aktau,43.65,51.2,19.32,51,2,2.24,KZ,1693711992
204,kodiak,57.79,-152.4072,12.73,71,0,0.0,US,1693711992
205,san patricio,28.017,-97.5169,29.36,61,0,3.56,US,1693711993
206,kyabe,9.4515,18.9449,22.83,93,84,1.36,TD,1693711993
207,le blanc,46.6667,1.1667,17.22,71,26,2.22,FR,1693711994
208,segezha,63.7415,34.3222,14.78,96,85,1.32,RU,1693711994
209,yambio,4.5721,28.3955,18.79,96,97,1.05,SS,1693711994
210,machiques,10.0644,-72.545,25.36,85,100,1.7,VE,1693711995
211,malanje,-9.5402,16.341,15.73,84,0,1.6,AO,1693711995
212,taroa,8.7058,171.2275,28.55,72,94,4.07,MH,1693711995
213,sinah,36.809,43.0389,28.6,22,0,0.73,IQ,1693711996
214,luena,-11.7833,19.9167,17.1,29,0,3.6,AO,1693711997
215,sitka,57.0531,-135.33,13.94,72,100,4.12,US,1693711998
216,chanika,-5.4167,38.0167,18.89,79,95,2.03,TZ,1693711998
217,kristiansund,63.1115,7.732,11.36,93,75,2.06,NO,1693711999
218,ust-tsilma,65.441,52.1498,16.92,75,8,0.13,RU,1693711999
219,callao,-12.0667,-77.15,20.16,77,100,5.66,PE,1693711610
220,geraldton,-28.7667,114.6,18.23,55,75,7.72,AU,1693711888
221,colonia,50.9333,6.95,18.19,91,99,2.06,DE,1693711803
222,karratha,-20.7377,116.8463,26.39,28,64,6.1,AU,1693712000
223,luganville,-15.5333,167.1667,26.89,79,50,4.46,VU,1693712001
224,mitu,1.1983,-70.1733,22.59,98,100,0.72,CO,1693712001
225,nar'yan-mar,67.6713,53.087,17.36,87,68,1.95,RU,1693712001
226,bardai,11.65,7.2333,21.07,92,88,3.86,NG,1693712002
227,albany,42.6001,-73.9662,19.82,87,100,1.07,US,1693712002
228,lihue,21.9789,-159.3672,29.58,68,20,8.75,US,1693712003
229,anchorage,61.2181,-149.9003,15.53,70,20,2.57,US,1693711803
230,xining,36.6167,101.7667,20.47,35,11,1.05,CN,1693712003
231,vadso,70.0744,29.7487,13.49,87,100,4.63,NO,1693712004
232,hilo,19.7297,-155.09,29.04,81,100,5.66,US,1693711767
233,quebrangulo,-9.3189,-36.4711,19.49,97,60,2.06,BR,1693712005
234,kirakira,-10.4544,161.9205,29.04,71,34,5.58,SB,1693712005
235,khandyga,62.6667,135.6,11.78,37,25,2.37,RU,1693712005
236,marsh harbour,26.5412,-77.0636,27.95,63,97,8.19,BS,1693712006
237,la union,-5.4,-80.75,20.95,77,6,4.86,PE,1693712006
238,amga,60.8953,131.9608,12.72,38,42,5.0,RU,1693712007
239,saint-jean-de-monts,46.7833,-2.0667,18.29,86,5,4.39,FR,1693712007
240,lebu,-37.6167,-73.65,7.83,78,100,6.53,CL,1693712007
241,hadibu,12.65,54.0333,26.49,81,85,6.75,YE,1693712008
242,oranjemund,-28.55,16.4333,10.29,88,44,2.39,NA,1693712008
243,ascension,30.2169,-90.9001,27.37,88,0,0.0,US,1693712009
244,bykovo,55.6361,38.0803,14.85,100,75,3.0,RU,1693712009
245,itoman,26.1247,127.6694,32.43,66,20,9.26,JP,1693712009
246,prince rupert,54.3161,-130.3201,13.83,90,100,5.66,CA,1693711829
247,sinabang,2.4803,96.3801,26.12,86,100,3.83,ID,1693712010
248,albu kamal,34.45,40.9186,26.63,49,0,3.77,SY,1693712010
249,ancud,-41.8697,-73.8203,4.01,79,44,2.04,CL,1693711895
250,jati,24.3539,68.2671,30.2,50,1,7.84,PK,1693712012
251,chernyshevskiy,63.0128,112.4714,11.91,39,83,3.02,RU,1693712012
252,queenstown,-31.8976,26.8753,7.87,89,100,1.2,ZA,1693711934
253,tarko-sale,64.9225,77.785,7.22,83,78,1.34,RU,1693712013
254,menongue,-14.6585,17.691,13.18,24,0,2.05,AO,1693712013
255,canubing no 2,13.35,121.1333,31.72,77,99,2.18,PH,1693712014
256,morondava,-20.2833,44.2833,21.07,64,2,2.71,MG,1693712014
257,mejit,10.2753,170.8646,28.33,74,38,3.09,MH,1693712015
258,diffa,13.3154,12.6113,27.16,57,2,3.33,NE,1693712015
259,bubaque,11.2833,-15.8333,27.02,82,44,3.98,GW,1693712015
260,touba,8.2833,-7.6833,21.13,96,100,4.38,CI,1693712016
261,aberystwyth,52.4155,-4.0829,14.86,83,89,1.8,GB,1693712016
262,warman,52.3168,-106.5679,23.38,63,75,4.12,CA,1693712017
263,santo antonio do ica,-3.1022,-67.9397,24.22,89,60,1.56,BR,1693712017
264,myeik,12.4333,98.6,28.0,79,89,3.44,MM,1693712017
265,mil'kovo,55.6078,37.7956,14.73,89,96,2.79,RU,1693712018
266,jamestown,42.097,-79.2353,21.8,80,20,3.09,US,1693711729
267,taoudenni,22.6783,-3.9836,32.88,14,0,6.34,ML,1693712018
268,turan,16.0678,108.2208,33.99,49,20,1.03,VN,1693712019
269,winkler,49.1817,-97.941,28.12,54,0,3.6,CA,1693712020
270,swift current,50.2834,-107.8014,21.45,35,0,2.57,CA,1693712021
271,abeche,13.8292,20.8324,25.02,75,85,2.84,TD,1693712021
272,polyarnyy,69.1989,33.4478,14.87,89,43,4.39,RU,1693712021
273,resen,41.0889,21.0122,16.12,60,4,0.81,MK,1693712022
274,neon karlovasion,37.7903,26.7044,25.87,72,0,8.38,GR,1693712022
275,timimoun,29.2639,0.231,31.21,10,0,4.63,DZ,1693712023
276,cabras,39.93,8.5314,21.59,72,68,3.47,IT,1693712023
277,arraial do cabo,-22.9661,-42.0278,21.29,85,37,12.27,BR,1693712024
278,santa marta de ortigueira,43.6833,-7.85,19.88,89,66,6.99,ES,1693712024
279,leon,21.1167,-101.6667,23.03,63,77,1.87,MX,1693712009
280,likiep,9.8251,169.3107,28.46,74,50,3.66,MH,1693712025
281,buta,2.7858,24.73,20.05,99,69,0.24,CD,1693712026
282,horta,38.5333,-28.6333,20.01,92,29,2.24,PT,1693712026
283,antsiranana,-12.2787,49.2917,23.42,64,40,9.26,MG,1693712026
284,sol'-iletsk,51.1631,54.9918,14.24,66,3,5.15,RU,1693712027
285,kavala,40.9397,24.4019,16.31,77,0,0.0,GR,1693712027
286,usinsk,65.9939,57.5281,14.35,68,94,2.1,RU,1693712028
287,anar darah,32.7587,61.654,25.92,13,0,7.41,AF,1693712029
288,puerto aysen,-45.4,-72.7,-1.97,99,86,1.37,CL,1693712030
289,ellensburg,46.9965,-120.5479,25.8,49,0,2.06,US,1693712024
290,neelankarai,12.9455,80.2575,30.03,79,40,4.63,IN,1693712030
291,mahina,-17.5065,-149.489,23.87,78,75,5.66,PF,1693712031
292,al kharijah,25.4514,30.5464,26.66,41,0,5.56,EG,1693712031
293,chui,-33.6971,-53.4616,13.37,96,100,5.25,UY,1693712031
294,kedrovyy,56.1667,91.8167,11.23,55,99,0.57,RU,1693712032
295,the pas,53.8251,-101.2541,20.01,60,74,3.6,CA,1693712033
296,luwuk,-0.9516,122.7875,29.43,61,80,4.17,ID,1693712033
297,saint-pierre,-21.3393,55.4781,21.43,64,0,3.6,RE,1693712033
298,cidreira,-30.1811,-50.2056,17.58,89,62,2.47,BR,1693712034
299,kilindoni,-7.9139,39.6668,24.65,76,52,4.13,TZ,1693712034
300,noumea,-22.2763,166.4572,24.44,99,2,4.93,NC,1693711706
301,korla,41.7597,86.1469,31.92,17,46,6.01,CN,1693712035
302,impfondo,1.6381,18.0667,21.98,98,98,1.35,CG,1693712035
303,kibuye,-2.0597,29.3482,18.17,74,13,1.42,RW,1693712036
304,mili,6.0815,171.735,28.89,63,45,1.46,MH,1693712037
305,sambava,-14.2667,50.1667,21.07,78,32,3.74,MG,1693712037
306,tralee,52.2704,-9.7026,12.59,95,89,1.68,IE,1693712038
307,cockburn town,21.4612,-71.1419,28.73,71,100,3.34,TC,1693712039
308,ladhewala waraich,32.1566,74.117,30.06,42,0,2.52,PK,1693712039
309,pangody,65.85,74.4859,11.39,67,45,6.29,RU,1693712040
310,bermeo,43.4209,-2.7215,16.8,81,99,3.64,ES,1693712040
311,kashgar,39.4547,75.9797,25.56,27,20,3.0,CN,1693712040
312,praia da vitoria,38.7333,-27.0667,22.14,88,40,2.05,PT,1693712041
313,ambodifotatra,-16.9833,49.85,24.03,83,40,3.09,MG,1693712042
314,udachny,66.4167,112.4,8.91,61,100,7.2,RU,1693712043
315,umluj,25.0213,37.2685,30.11,77,6,3.34,SA,1693712043
316,thabazimbi,-24.5917,27.4116,17.13,30,0,1.4,ZA,1693712043
317,iargara,46.4275,28.4367,19.42,51,51,1.58,MD,1693712044
318,barcelos,41.5388,-8.6151,20.47,67,70,3.63,PT,1693712044
319,lazaro cardenas,17.9583,-102.2,27.59,88,70,1.4,MX,1693712045
320,kenora,49.8167,-94.4337,25.54,53,20,3.6,CA,1693712045
321,yatou,37.15,122.3833,26.42,54,86,1.8,CN,1693712045
322,dalaba,10.7,-12.25,17.51,99,100,1.16,GN,1693712046
323,shihezi,44.3,86.0333,28.3,28,0,3.42,CN,1693712046
324,san julian,21.0167,-102.1667,16.54,68,64,2.07,MX,1693712047
325,seydi,39.4816,62.9137,27.75,15,1,1.85,TM,1693712047
326,abra pampa,-22.7205,-65.697,6.66,24,76,2.97,AR,1693712047
327,huancavelica,-12.7667,-74.9833,3.03,87,100,1.45,PE,1693712048
328,alto barinas,8.5931,-70.2261,23.47,91,45,1.57,VE,1693712048
329,porto novo,6.4965,2.6036,23.9,96,100,2.49,BJ,1693712049
330,calvinia,-31.4707,19.776,6.6,47,99,0.42,ZA,1693712049
331,kone,-21.0595,164.8658,22.79,67,71,2.77,NC,1693712050
332,korocha,50.8107,37.1953,12.4,82,5,2.58,RU,1693712050
333,lloydminster,53.2835,-110.0016,15.12,55,0,3.09,CA,1693711920
334,priargunsk,50.3691,119.1012,8.67,89,100,5.53,RU,1693712051
335,wuwei,37.9281,102.6414,29.67,15,91,3.63,CN,1693712051
336,toamasina,-18.1667,49.3833,19.0,100,40,2.06,MG,1693712052
337,barranca,-10.75,-77.7667,18.34,84,20,3.42,PE,1693712052
338,farafangana,-22.8167,47.8333,19.96,88,23,1.52,MG,1693712053
339,las vegas,36.175,-115.1372,25.38,81,20,2.57,US,1693711797
340,yuncos,40.0909,-3.8879,19.25,97,100,7.08,ES,1693712054
341,san pedro,14.35,121.0167,27.37,93,100,5.14,PH,1693712054
342,urumqi,43.801,87.6005,23.53,38,0,2.0,CN,1693712055
343,san luis,-33.295,-66.3356,6.76,88,46,6.63,AR,1693712055
344,dhidhdhoo,6.8833,73.1,26.68,82,99,9.87,MV,1693712056
345,okha,53.5739,142.9478,9.52,86,100,7.76,RU,1693712057
346,sharjah,25.3573,55.4033,30.99,66,0,3.09,AE,1693712057
347,new norfolk,-42.7826,147.0587,16.62,32,0,1.28,AU,1693712058
348,sebis,46.3667,22.1167,16.69,67,6,1.78,RO,1693712058
349,san antonio de pale,-1.4014,5.6325,23.75,86,89,5.75,GQ,1693712058
350,salinas,36.6777,-121.6555,20.45,78,100,2.57,US,1693711917
351,puerto san jose,13.9256,-90.8244,26.88,84,99,3.06,GT,1693712059
352,tekeli,44.83,78.8239,21.64,33,43,1.87,KZ,1693712059
353,enewetak,11.3474,162.3373,29.01,70,98,3.3,MH,1693712060
354,port alberni,49.2413,-124.8028,19.91,66,5,1.99,CA,1693712060
355,palmer,42.1584,-72.3287,20.14,73,40,4.63,US,1693711927
356,hacienda la calera,-32.7833,-71.2167,8.47,92,94,0.18,CL,1693711887
357,al mijlad,11.0333,27.7333,24.76,72,100,2.02,SD,1693712061
358,morant bay,17.8815,-76.4093,29.79,82,38,2.68,JM,1693712062
359,koulikoro,14.0,-7.75,22.79,81,100,3.6,ML,1693712062
360,orapa,-21.2833,25.3667,17.08,21,1,5.17,BW,1693712062
361,minas de marcona,-15.2119,-75.1103,12.96,85,9,3.87,PE,1693712063
362,n'zeto,-7.2312,12.8666,21.95,87,52,2.85,AO,1693712063
363,busayra,30.7376,35.6078,18.42,64,0,1.28,JO,1693712064
364,lompoc,34.6391,-120.4579,20.43,83,0,4.02,US,1693711872
365,port-gentil,-0.7193,8.7815,24.15,85,100,5.45,GA,1693712064
366,labrador city,52.9463,-66.9114,12.95,94,100,2.57,CA,1693711814
367,kamaishi,39.2667,141.8833,26.36,75,43,2.32,JP,1693712065
368,dubbo,-32.25,148.6167,21.07,37,12,2.57,AU,1693712066
369,yasnyy,51.0333,59.8742,12.69,74,92,7.63,RU,1693712066
